INSERT INTO Pitcher VALUES('Right', 'Juan Gutierrez', 'Colorado Rockies', 26);
INSERT INTO Pitcher VALUES('Left', 'Leo Rosales', 'Washington Nationals', 43);
INSERT INTO Pitcher VALUES('Right', 'Kris Benson', 'Oakland Athletics', 84);
INSERT INTO Pitcher VALUES('Right', 'Brandon Webb', 'Boston Red Sox', 70);
INSERT INTO Pitcher VALUES('Left', 'Jo-Jo Reyes', 'New York Mets', 74);
INSERT INTO Pitcher VALUES('Left', 'Jordan Schafer', 'Philadelphia Phillies', 50);
INSERT INTO Pitcher VALUES('Right', 'Takashi Saito', 'Chicago Cubs', 52);
INSERT INTO Pitcher VALUES('Left', 'Jair Jurrjens', 'Kansas City Royals', 78);
INSERT INTO Pitcher VALUES('Left', 'Eric OFlaherty', 'Oakland Athletics', 41);
INSERT INTO Pitcher VALUES('Right', 'Kris Medlen', 'Baltimore Orioles', 85);
INSERT INTO Pitcher VALUES('Right', 'Koji Uehara', 'New York Yankees', 86);
INSERT INTO Pitcher VALUES('Right', 'Alfredo Simon', 'Arizona Diamondbacks', 14);
INSERT INTO Pitcher VALUES('Right', 'Michael	Gonzalez', 'San Diego Padres', 51);
INSERT INTO Pitcher VALUES('Left', 'Kevin Millwood', 'Minnesota Twins', 87);
INSERT INTO Pitcher VALUES('Left', 'Jim Johnson', 'Miami Marlins', 6);
INSERT INTO Pitcher VALUES('Right', 'David Hernandez', 'Arizona Diamondbacks', 14);
INSERT INTO Pitcher VALUES('Right', 'Jason Berken', 'Texas Rangers', 7);
INSERT INTO Pitcher VALUES('Left', 'Daisuke Matsuzaka', 'Chicago White Sox', 65);
INSERT INTO Pitcher VALUES('Right', 'Boof Bonser', 'San Francisco Giants', 96);
INSERT INTO Pitcher VALUES('Right', 'Manny Delcarmen', 'Detroit Tigers', 43);
INSERT INTO Pitcher VALUES('Left', 'Clay Buchholz', 'Houston Astros', 17);
INSERT INTO Pitcher VALUES('Left', 'Josh Beckett', 'Pittsburgh Pirates', 15);
INSERT INTO Pitcher VALUES('Left', 'Hideki Okajima', 'Cleveland Indians', 36);
INSERT INTO Pitcher VALUES('Right', 'Junichi Tazawa', 'Kansas City Royals', 0);
INSERT INTO Pitcher VALUES('Left', 'Ted Lilly', 'Detroit Tigers', 67);
INSERT INTO Pitcher VALUES('Left', 'Esmailin Caridad', 'Atlanta Braves', 28);
INSERT INTO Pitcher VALUES('Right', 'John Grabow', 'Tampa Bay Rays', 8);
INSERT INTO Pitcher VALUES('Right', 'Brian Schlitter', 'Los Angeles Dodgers', 61);
INSERT INTO Pitcher VALUES('Right', 'Carlos Silva', 'Colorado Rockies', 80);
INSERT INTO Pitcher VALUES('Left', 'John Grabow', 'San Diego Padres', 11);
INSERT INTO Pitcher VALUES('Left', 'Esmailin Caridad', 'Chicago White Sox', 97);
INSERT INTO Pitcher VALUES('Right', 'Angel Guzman', 'San Francisco Giants', 21);
INSERT INTO Pitcher VALUES('Right', 'Erick Threets', 'Baltimore Orioles', 74);
INSERT INTO Pitcher VALUES('Right', 'Matt Thornton', 'Colorado Rockies', 83);
INSERT INTO Pitcher VALUES('Right', 'J.J. Putz', 'Oakland Athletics', 59);
INSERT INTO Pitcher VALUES('Left', 'Jake Peavy', 'Pittsburgh Pirates', 59);
INSERT INTO Pitcher VALUES('Left', 'Erick Threets', 'Pittsburgh Pirates', 79);
INSERT INTO Pitcher VALUES('Left', 'Edinson Volquez', 'Colorado Rockies', 58);
INSERT INTO Pitcher VALUES('Left', 'Homer Bailey', 'Minnesota Twins', 81);
INSERT INTO Pitcher VALUES('Left', 'Aaron Harang', 'Cincinnati Reds', 89);
INSERT INTO Pitcher VALUES('Left', 'Mike Leake', 'San Francisco Giants', 87);
INSERT INTO Pitcher VALUES('Right', 'Mike Lincoln', 'Kansas City Royals', 52);
INSERT INTO Pitcher VALUES('Right', 'Russ Springer', 'Los Angeles Angels', 80);
INSERT INTO Pitcher VALUES('Left', 'Hector Ambriz', 'Kansas City Royals', 57);
INSERT INTO Pitcher VALUES('Right', 'Kerry Wood', 'Miami Marlins', 66);
INSERT INTO Pitcher VALUES('Right', 'Mitch Talbot', 'Arizona Diamondbacks', 34);
INSERT INTO Pitcher VALUES('Left', 'Aaron Laffey', 'Texas Rangers', 88);
INSERT INTO Pitcher VALUES('Left', 'Hector Ambriz', 'Houston Astros', 37);
INSERT INTO Pitcher VALUES('Right', 'Jason Hammel', 'Miami Marlins', 41);
INSERT INTO Pitcher VALUES('Right', 'Jeff Francis', 'Cleveland Indians', 21);
INSERT INTO Pitcher VALUES('Right', 'Franklin Morales', 'Cleveland Indians', 5);
INSERT INTO Pitcher VALUES('Left', 'Huston Street', 'Tampa Bay Rays', 54);
INSERT INTO Pitcher VALUES('Right', 'Jorge De La Rosa', 'Atlanta Braves', 39);
INSERT INTO Pitcher VALUES('Right', 'Taylor Buchholz', 'Detroit Tigers', 98);
INSERT INTO Pitcher VALUES('Left', 'Aaron Cook', 'Kansas City Royals', 97);
INSERT INTO Pitcher VALUES('Right', 'Matt Daley', 'Cleveland Indians', 41);
INSERT INTO Pitcher VALUES('Left', 'Jeff Francis', 'Toronto Blue Jays', 60);
INSERT INTO Pitcher VALUES('Right', 'Greg Reynolds', 'Washington Nationals', 96);
INSERT INTO Pitcher VALUES('Right', 'Manuel Corpas', 'Cincinnati Reds', 7);
INSERT INTO Pitcher VALUES('Left', 'Aaron Cook', 'Miami Marlins', 27);
INSERT INTO Pitcher VALUES('Left', 'Ryan Perry', 'Houston Astros', 78);
INSERT INTO Pitcher VALUES('Left', 'Joel Zumaya', 'Detroit Tigers', 62);
INSERT INTO Pitcher VALUES('Right', 'Bobby Seay', 'Toronto Blue Jays', 85);
INSERT INTO Pitcher VALUES('Right', 'Zach Miner', 'Chicago Cubs', 86);
INSERT INTO Pitcher VALUES('Right', 'Brian Sanches', 'Pittsburgh Pirates', 86);
INSERT INTO Pitcher VALUES('Right', 'Dan Meyer', 'Washington Nationals', 93);
INSERT INTO Pitcher VALUES('Right', 'Renyel Pinto', 'Atlanta Braves', 27);
INSERT INTO Pitcher VALUES('Left', 'Clay Hensley', 'Tampa Bay Rays', 61);
INSERT INTO Pitcher VALUES('Right', 'Chris Leroux', 'Boston Red Sox', 39);
INSERT INTO Pitcher VALUES('Right', 'Sean West', 'Chicago White Sox', 42);
INSERT INTO Pitcher VALUES('Left', 'Jhan Marinez', 'Houston Astros', 23);
INSERT INTO Pitcher VALUES('Left', 'Ricky Nolasco', 'Los Angeles Dodgers', 29);
INSERT INTO Pitcher VALUES('Left', 'Sammy Gervacio', 'Arizona Diamondbacks', 18);
INSERT INTO Pitcher VALUES('Right', 'Tim Byrdak', 'San Francisco Giants', 22);
